"Group","Condition","Timepoint","Size_Avg","Size_Sd","EI_Avg","EI_Sd","N_num"
"E14_SL","CHIR","120h",418607.505142857,99642.5393377814,1.78895238095238,0.24171004865137,21
"E14_SL","CHIR","72h",163398.710925926,13110.2252508814,1,0,27
"E14_SL","CHIR","96h",237206.79875,19679.4477119565,1.04666666666667,0.0833362318336501,24
"E14_SL","Canonical Only","120h",370882.084307692,43549.595602097,1.251,0.174161534214648,26
"E14_SL","Canonical Only","72h",154394.078,10067.4633822441,1.02605,0.0810500008117147,20
"E14_SL","Canonical Only","96h",249695.011481481,15231.6499688439,1.00703703703704,0.0365655170486763,27
"E14_SL","PCP Only","120h",209894.665192308,20291.5178375847,1.04338461538462,0.134840372863049,26
"E14_SL","PCP Only","72h",146918.09928,12721.9054286281,1.01972,0.0682651204251971,25
"E14_SL","PCP Only","96h",211936.29,24608.8496170529,1.08,0.166583312489577,17
"E14_SL","no CHIR","120h",235078.931541667,25192.4318115713,1.0955,0.150583502762912,24
"E14_SL","no CHIR","72h",146140.429,11085.5868593615,1.0102962962963,0.0535011249449053,27
"E14_SL","no CHIR","96h",200729.463928571,13083.3234548909,1.02142857142857,0.0630528458966078,28
"E14_SL","no Wnt","120h",187456.045833333,12478.5180083258,1.02236666666667,0.0683124077856378,30
"E14_SL","no Wnt","72h",137983.251407407,10518.8910740372,1.01714814814815,0.0618799729648539,27
"E14_SL","no Wnt","96h",192398.022307692,12265.8300567769,1,0,26
"E14tg2a","CHIR","120h",707360.115714286,122189.334798885,1.352,0.0911827834626691,21
"E14tg2a","CHIR","72h",179614.233958333,12345.6505237688,1,0,24
"E14tg2a","CHIR","96h",342287.0884,25035.5047973557,1.0944,0.106382956028366,25
"E14tg2a","Canonical Only","120h",528532.493655172,50212.0808006982,1.36186206896552,0.205707268455848,29
"E14tg2a","Canonical Only","72h",175471.788962963,10646.1313028485,1,0,27
"E14tg2a","Canonical Only","96h",303315.264074074,22375.3827919282,1.04851851851852,0.0769467200132515,27
"E14tg2a","PCP Only","120h",443758.782586207,82717.961244417,1.22334482758621,0.323412858197213,29
"E14tg2a","PCP Only","72h",174781.872304348,10288.5604548467,1.00960869565217,0.0460816855066135,23
"E14tg2a","PCP Only","96h",301532.190714286,25940.340500777,1.09285714285714,0.138613695621164,28
"E14tg2a","no CHIR","120h",809683.934703704,114272.131070952,1.63774074074074,0.295239875432815,27
"E14tg2a","no CHIR","72h",190913.11968,21193.3994829357,1,0,25
"E14tg2a","no CHIR","96h",367986.996896552,42078.2999076074,1.13310344827586,0.121980778587561,29
"E14tg2a","no Wnt","120h",222207.830766667,17855.2819473934,1,0,30
"E14tg2a","no Wnt","72h",154868.616769231,14246.0808346695,1,0,26
"E14tg2a","no Wnt","96h",227498.415333333,18336.6095857963,1.006,0.03286335345031,30
"S2TB","CHIR","120h",364574.587142857,89452.990021931,1.91135714285714,0.257275499299258,28
"S2TB","CHIR","72h",96668.5837916667,13012.7371277299,1,0,24
"S2TB","CHIR","96h",153346.753913043,26512.6040019852,1.14173913043478,0.17340578196067,23
"S2TB","Canonical Only","120h",98710.0553636364,15286.1904244785,1.07681818181818,0.17404184449828,11
"S2TB","Canonical Only","72h",64917.421,10217.4319874281,1,0,16
"S2TB","Canonical Only","96h",81056.0327272727,12928.364325024,1,0,22
"S2TB","PCP Only","120h",93070.4518571429,9641.73714985377,1,0,14
"S2TB","PCP Only","72h",77552.62004,11805.5998082164,1,0,25
"S2TB","PCP Only","96h",92909.087037037,11138.4680187654,1.02074074074074,0.0749320680003883,27
"S2TB","no CHIR","120h",137401.74188,24971.5561203608,1.18336,0.255035272070355,25
"S2TB","no CHIR","72h",81655.9591052632,10964.2247748253,1,0,19
"S2TB","no CHIR","96h",99215.6724137931,12869.9229126259,1,0,29
"S2TB","no Wnt","120h",67274.29744,10604.7456319215,1,0,25
"S2TB","no Wnt","72h",62076.95825,12176.1508791824,1,0,20
"S2TB","no Wnt","96h",70828.5357142857,12618.9065793311,1,0,28
